EPIC,Name,RAdeg,DEdeg,Other,Vmag,Ksmag,(V-K)0,Per1,Per2,Per3,Per4,Ampl,LC,memb,Per,vsini,bp_rp,bp_g,g_rp
210991540,033149.84+225024.8,52.95768,22.84023,UGCSJ033149.85+225024.4,0,12.75,5.1,0.5749,0,0,0,0.059,LC2,best,0.57,0,,,
211016313,033207.85+231357.5,53.03274,23.23265,DH017,0,12.25,5.05,0.3193,0,0,0,0.056,LC1,best,0,0,2.863677979,1.620187759,1.243490219
211029135,033237.80+232559.3,53.15753,23.43315,UGCSJ033237.82+232559.0,0,13.06,5.76,0.286,0,0,0,0.032,LC4,best,0,0,3.197932243,1.875341415,1.322590828
211037397,033242.30+233400.4,53.17625,23.56679,DH022,0,12.54,5.58,0.499,0.3167,0,0,0.023,LC1,best,0,0,3.099967957,1.788434982,1.311532974
210946764,033305.82+220803.2,53.27427,22.13423,PELS004,11.36,9.43,1.82,5.766,0,0,0,0.011,LC4,best,0,0,1.015587807,0.44239521,0.573192596
211002011,033313.90+230023.2,53.30793,23.00647,PELS123,11.98,9.67,2.2,7.6495,6.9112,0,0,0.028,LC3,best,7.07,0,1.167257309,0.518918037,0.648339272
210997742,033349.79+225620.0,53.45748,22.93891,DH031,0,13.29,5.21,0.3744,0,0,0,0.037,LC2,ok,0,0,2.976481438,1.691949844,1.284531593
210989751,033419.35+224842.4,53.58063,22.8118,DH034,0,13.93,6.39,0.713,0,0,0,0.033,LC1,best,0,0,3.422647476,1.995435715,1.427211761
210943453,033454.93+220446.6,53.7289,22.07963,DH040,16.17,11.57,4.49,0.8275,0,0,0,0.021,LC2,best,0.83,0,2.452377319,1.316135406,1.136241913
211051561,033516.25+234758.1,53.81775,23.7995,DH044,0,13.19,5.81,0.4725,0,0,0,0.038,LC1,best,0,0,3.255832672,1.927452087,1.328380585
210990525,033531.68+224925.0,53.88203,22.82362,PELS124,9.86,8.54,1.21,2.7953,1.4205,3.3298,0,0.005,LC1,best,0,20.5,0.710266113,0.291788101,0.418478012
210966931,033544.25+222710.0,53.93439,22.45278,DH047,0,12.02,4.8,1.8867,0,0,0,0.017,LC1,ok,0,0,2.678009987,1.482457161,1.195552826
210964488,033546.39+222450.0,53.94331,22.41391,UGCSJ033546.40+222449.6,0,13.27,5.7,0.4939,0,0,0,0.026,LC1,best,0,0,3.247766495,1.916885376,1.330881119
210817078,033548.22+200743.3,53.95093,20.12871,0,0,11.96,5.15,0.6623,0,0,0,0.054,LC1,ok,0,0,3.00951004,1.72760582,1.281904221
211051975,033611.05+234823.4,54.04608,23.80651,DH053,0,13.08,5.69,0.549,0,0,0,0.063,LC1,best,0,0,3.145955086,1.831363678,1.314591408
210977505,033624.31+223725.6,54.10133,22.62379,DH056,14.14,10.56,3.47,11.1805,0,0,0,0.015,LC4,best,11.28,0,,,
211065162,033630.30+240043.9,54.12626,24.01222,PELS189,12.26,9.9,2.25,7.551,0,0,0,0.035,LC3,best,7.41,0,1.214344978,0.545541763,0.668803215
211010818,033638.39+230844.4,54.15996,23.14569,DH060,0,13.27,5.84,0.304,0,0,0,0.036,LC1,best,0,0,3.170288086,1.818164825,1.35212326
210940129,033644.10+220139.1,54.18378,22.02753,DH063,0,12.92,6.07,0.727,0.7903,0,0,0.015,LC1,best,0,0,3.366574287,1.857501984,1.509072304
211013159,033716.51+231104.5,54.31882,23.1846,HHJ179,0,12.55,5.3,0.4487,0,0,0,0.03,LC1,best,0,0,3.00167942,1.722694397,1.278985023
210960579,033724.04+222103.5,54.3502,22.35098,PELS003,9.22,7.9,1.21,3.3876,0,0,0,0.011,LC1,best,0,0,0.694976807,0.287386894,0.407589912
211013046,033737.07+231058.1,54.40448,23.18281,UGCSJ033737.08+231057.8,0,12.81,5.33,0.358,0,0,0,0.063,LC1,best,0,0,2.990986824,1.706874847,1.284111977
210956678,033741.34+221719.4,54.42226,22.28872,UGCSJ033741.35+221718.9,0,13.07,5.85,0.5602,0,0,0,0.029,LC1,best,0,0,3.297956467,1.941459656,1.356496811
211025925,033756.40+232256.9,54.48504,23.38248,HHJ268,0,12.07,4.98,0.8969,0,0,0,0.013,LC1,best,0,0,2.79718399,1.57541275,1.22177124
210969800,033822.58+222958.8,54.59409,22.49969,PELS015,10.06,8.7,1.25,2.1116,2.2119,0,0,0.019,LC2,best,2.3,24.4,0.750146866,0.312047005,0.438099861
211008438,033823.37+230629.1,54.59741,23.10811,HHJ418,15.25,11.04,4.1,3.7479,0,0,0,0.032,LC2,best,3.77,0,2.121139526,1.088202477,1.03293705
210803812,033910.20+195531.0,54.79251,19.92528,UGCSJ033910.21+195530.5,0,12.21,5.27,1.7999,0,0,0,0.013,LC1,best,0,0,2.854131699,1.613880157,1.240251541
211081065,033932.31+241601.3,54.88464,24.26705,BPL2,0,12.2,5.24,0.72,0,0,0,0.034,LC1,best,0.72,0,2.890406609,1.642402649,1.24800396
211058468,033942.71+235427.9,54.92796,23.90776,HCG22,17.9,12.41,5.38,0.7734,0,0,0,0.039,LC1,best,0,0,2.938427925,1.679836273,1.258591652
210946466,033944.17+220745.8,54.93408,22.12941,DH111,0,11.89,4.71,1.081,0,0,0,0.042,LC1,best,0,0,2.590711594,1.413945198,1.176766396
210979439,033944.78+223915.5,54.9366,22.65432,HHJ141,0,12.73,5.5,0.6961,0,0,0,0.016,LC1,best,0,0,3.124213219,1.823190689,1.30102253
211063235,033946.33+235853.1,54.94306,23.98144,HHJ324,16.85,11.83,4.91,1.1377,0,0,0,0.058,LC1,best,1.14,0,2.646846771,1.452075005,1.194771767
211054634,033947.97+235056.9,54.9499,23.84916,HHJ291,17.23,11.83,5.29,0.3847,0.447,0,0,0.029,LC1,best,0,40,2.954253197,1.685622215,1.268630981
211049486,033950.66+234552.6,54.96112,23.76463,BPL7,0,13.5,5.97,0.5572,0,0,0,0.035,LC3,best,0,0,3.307731628,1.953876495,1.353855133
211077682,033955.19+241254.3,54.98,24.21509,BPL8,0,13.45,5.9,0.3291,0,0,0,0.026,LC1,best,0,0,3.230607986,1.867061615,1.363546371
210978953,034007.00+223847.6,55.02917,22.64658,HHJ114,19.2,13.05,6.04,0.482,0,0,0,0.032,LC1,best,0.48,0,3.15231514,1.832523346,1.319791794
211077833,034007.09+241303.6,55.02958,24.21767,DH126,0,13.54,5.84,0.4198,0,0,0,0.023,LC1,best,0,0,3.27249527,1.93409729,1.33839798
211088075,034015.91+242231.6,55.06632,24.37546,BPL11,0,13.81,6.24,1.2224,0,0,0,0.052,LC1,best,0,0,3.44540596,2.051691055,1.393714905
211058381,034018.84+235423.6,55.0785,23.90657,UGCSJ034018.84+235423.3,0,12.77,5.25,0.6702,0,0,0,0.029,LC1,best,0,0,2.954033852,1.678304672,1.275729179
211070495,034025.60+240600.2,55.1067,24.10008,HHJ135,18.45,12.83,5.51,0.606,0,0,0,0.053,LC1,best,0,0,3.054648399,1.755710602,1.298937798
211069863,034026.39+240523.8,55.10997,24.08995,SK778,0,11.69,4.9,0.7654,0,0,0,0.042,LC1,best,0,0,2.631670952,1.439004898,1.192666054
211079106,034026.95+241414.4,55.1123,24.23736,HHJ169,17.99,12.52,5.36,0.8235,0,0,0,0.11,LC2,best,0,0,2.975543976,1.706695557,1.268848419
211095259,034030.72+242914.2,55.12802,24.4873,PELS019,11.72,9.56,2.05,6.8132,0,0,0,0.022,LC3,best,6.72,0,1.124847412,0.498161316,0.626686096
211036360,034031.48+233302.4,55.13119,23.55067,SK773,15.23,11.06,4.06,2.337,0,0,0,0.018,LC2,best,2.35,0,2.176562309,1.122735977,1.053826332
211044536,034034.36+234057.3,55.14318,23.68261,PELS012,10.9,9.15,1.64,4.5487,4.1646,0,0,0.018,LC3,best,4.46,0,0.918284416,0.391100883,0.527183533
210872505,034035.32+205756.9,55.14717,20.96581,DH146,15.98,11.3,4.57,0.534,0,0,0,0.077,LC1,best,0.53,0,2.444868088,1.308717728,1.13615036
211029757,034039.44+232635.1,55.16436,23.44309,DH147,0,14.04,6.49,0.3274,0,0,0,0.045,LC1,best,0,0,3.521369934,2.125894547,1.395475388
210888723,034049.38+211255.6,55.20577,21.21546,DH152,0,12.49,5.55,3.7501,0,0,0,0.057,LC1,best,0,0,3.065612793,1.76682663,1.298786163
211028209,034050.42+232506.4,55.21012,23.41846,AK1B038,10.8,9.12,1.57,4.395,0,0,0,0.039,LC3,best,4.34,0,0.901252747,0.382843018,0.518409729
210854098,034051.06+204117.6,55.21276,20.68823,DH155,0,13.71,6.08,0.3451,0,0,0,0.045,LC1,best,0,0,3.309213638,1.906785965,1.402427673
211039307,034051.26+233554.3,55.21359,23.59843,DH156,12.79,10.08,2.6,8.3247,0,0,0,0.085,LC3,best,8.14,0,1.376970291,0.633822441,0.74314785
211078393,034100.38+241335.2,55.25161,24.22646,BPL17,0,12.94,5.56,0.5214,0,0,0,0.034,LC1,best,0,0,3.073282242,1.750289917,1.322992325
211046948,034102.97+234321.6,55.2624,23.72269,HCG45,0,12,5,1.4556,0,0,0,0.069,LC2,best,0,0,2.722336769,1.510469437,1.211867332
211053922,034105.21+235015.3,55.27173,23.83759,BPL19,0,13.76,5.91,0.3446,0,0,0,0.036,LC1,best,0,0,3.33940506,1.947450638,1.391954422
210865020,034113.48+205117.2,55.30619,20.8548,UGCSJ034113.49+205117.2,0,11.24,4.21,13.0526,0,0,0,0.016,LC2,best,0,0,2.798034668,1.479383469,1.318651199
211026087,034113.79+232305.8,55.30749,23.38495,DH166,14.05,10.63,3.31,10.0234,0,0,0,0.025,LC4,ok,9.87,0,1.726028442,0.841028214,0.885000229
211055424,034119.34+235142.1,55.33059,23.86172,HCG48,0,12.78,5.62,0.4252,0,0,0,0.023,LC3,best,0,0,3.099202156,1.7889328,1.310269356
211089510,034122.43+242351.8,55.34347,24.39775,DH169,0,13.35,5.88,0.3226,0,0,0,0.026,LC1,best,0,0,3.357154846,2.004852295,1.352302551
211059880,034122.87+235548.2,55.34533,23.93007,HCG49,0,12.34,5.21,0.7308,0,0,0,0.093,LC1,best,0,0,2.888130188,1.623592377,1.264537811
210940436,034123.45+220154.2,55.34772,22.03174,UGCSJ034123.46+220153.9,0,12.54,6.01,0.7453,0,0,0,0.053,LC1,best,0,0,3.215362549,1.868030548,1.347332001
211018106,034125.95+231536.1,55.35815,23.26003,UGCSJ034125.96+231535.8,0,12.82,5.49,0.5384,0,0,0,0.038,LC1,best,0,0,3.118618965,1.812669754,1.305949211
211010041,034126.34+230802.9,55.35979,23.13415,DH174,0,12.62,5.56,0.8393,0,0,0,0.029,LC1,best,0.84,0,3.108498573,1.812337875,1.296160698
211065494,034126.88+240102.4,55.36201,24.01736,SK729,17.01,11.47,5.43,0.3591,0.3709,0,0,0.025,LC1,best,0,0,2.980093002,1.704216003,1.275876999
211046102,034127.81+234230.0,55.36591,23.70835,AK1B055,11.18,9.31,1.76,5.4678,6.1205,0,0,0.035,LC3,best,5.45,0,0.975647926,0.424145699,0.551502228
211067927,034131.19+240325.0,55.37999,24.05695,HHJ90,0,13.07,5.55,0.3868,0,0,0,0.027,LC1,best,0,0,3.145847321,1.828691483,1.317155838
211041753,034134.79+233815.7,55.39496,23.63772,DH180,0,13.21,5.55,0.5168,0,0,0,0.015,LC1,best,0,0,3.102321625,1.79615593,1.306165695
211088777,034138.80+242309.3,55.41168,24.38594,BPL25,0,13.46,5.77,1.5972,0.246,0,0,0.028,LC1,best,0,0,3.193088531,1.854803085,1.338285446
211049396,034139.57+234547.0,55.4149,23.76308,SK724,14.58,10.87,3.6,11.0063,0,0,0,0.028,LC4,best,11.07,0,1.899132729,0.952259064,0.946873665
211002985,034146.64+230119.8,55.44436,23.02219,UGCSJ034146.65+230119.6,0,13.16,5.65,0.2943,0,0,0,0.028,LC1,best,0,0,3.190374374,1.872854233,1.317520142
211005163,034148.95+230323.4,55.45397,23.05651,HHJ58,19.37,13.15,6.11,0.2391,0.553,0,0,0.016,LC1,best,0,0,,,
211084813,034151.49+241927.4,55.46455,24.3243,BPL27,0,14.27,6.76,0.6486,0,0,0,0.078,LC1,best,0,0,3.333045959,1.878608704,1.454437256
211071863,034152.93+240725.0,55.47055,24.12362,DH191,0,13.22,5.44,0.515,0,0,0,0.021,LC1,best,0,0,3.068475723,1.773767471,1.294708252
211030680,034153.66+232728.6,55.47359,23.45797,DH193,14,10.25,3.64,7.1503,0,0,0,0.05,LC3,ok,7.23,0,1.858427048,0.852662086,1.005764961
211063081,034156.71+235843.3,55.48632,23.97871,BPL30,0,13.23,5.78,0.4007,0,0,0,0.028,LC1,best,0,0,3.11141777,1.790719986,1.320697784
210998478,034158.64+225701.9,55.49436,22.95055,HCG66,0,11.9,4.8,6.842,0,0,0,0.018,LC4,best,0,0,2.673370361,1.476965904,1.196404457
211046046,034158.67+234226.3,55.49448,23.70731,SK709,14.73,10.84,3.78,7.7833,0,0,0,0.025,LC2,best,7.93,0,1.959308624,0.984948158,0.974360466
211074799,034200.36+241012.8,55.50153,24.17025,BPL32,0,14.07,6.36,0.2821,0,0,0,0.044,LC1,best,0,0,3.396471024,1.977519989,1.418951035
