RAdeg,DEdeg,2MASS,EPIC,D17-Prot,D17-P,Prot,P,dCMD,eCMD,RVel,e_RVel,epsi,gmag,b-r,Teff,Gaia,SFlag,bp_rp,bp_g,g_rp,distance,x,y,z,u,v,w
130.815583,20.333611,0,212004731,3.96,2,3.96,2,1.71694,0.001921,-2.82,4.55,0,11.943,0.703,6196.83,661438260802777600,NYYNN,,,,,,,,,,
130.089167,19.181694,0,211930461,14.59,2,14.59,2,-0.000313,0.019007,-11.02,7.48,0,13.977,1.754,4019.6,661211147230556160,YYYNN,,,,,,,,,,
130.281097,21.915726,2MASS J08410747+2154567,212094548,6.6,2,6.6,2,-0.075211,0.090267,0,0,0.87,18.41,3.251,3097.71,665178391340402816,NYY-Y,3.250925064,1.851652145,1.399272919,,,,,,,
129.979355,20.065041,2MASS J08395507+2003542,211988287,3.29,2,3.29,2,0.110128,0.001432,-1.14,0.26,0,9.991,0.645,6395.48,664327433763175424,YYYYY,0.644856453,0.26227951,0.382576942,,,,,,,
130.002548,19.806503,2MASS J08400063+1948235,211971871,2.99,K,2.99,K,0.097828,0.002062,0,0,0,10.162,0.676,6289.11,661311752544249088,YYY-Y,0.675700188,0.27637291,0.399327278,,,,,,,
130.005325,20.135639,2MASS J08400130+2008082,211992776,1.18,2,1.18,2,0.024055,0.001131,0,0,0,9.565,0.588,6597.7,664328915529295232,YYY-Y,0.587801933,0.235864639,0.351937294,,,,,,,
130.092957,20.106712,2MASS J08402232+2006244,211990908,2.59,K,2.59,K,-0.030625,0.001887,-0.39,0.71,0,9.957,0.663,6333.77,661419259867455488,YYNYN,0.662691116,0.271842003,0.390849113,,,,,,,
130.07338,19.787514,2MASS J08401763+1947152,211970750,6.69,K,6.69,K,-0.659861,0.002195,0,0,9.08,9.816,0.746,6054.54,661310790468510336,-NY-Y,0.745820999,0.305596352,0.440224648,,,,,,,
130.357651,19.943529,2MASS J08412585+1956370,211980688,6.6,K,6.6,K,0.032036,0.00164,-1.28,0.38,0,10.579,0.758,6014.5,661401122222444288,YYYYY,0.758054733,0.311160088,0.446894646,,,,,,,
129.601196,20.106018,2MASS J08382430+2006217,211990866,4.3,K,4.3,K,-0.076144,0.001612,-0.86,0.64,0,10.405,0.747,6051.6,664337230586013312,YYYYN,0.746738434,0.307549477,0.439188957,,,,,,,
130.1064,19.475754,2MASS J08402555+1928329,211950227,13.15,D,1.78,16,0.002278,0.001273,0.25,0.76,0,9.742,0.621,6478.99,661243307945543936,YYYYY,0.621138573,0.251072884,0.370065689,,,,,,,
129.876678,20.069052,2MASS J08393043+2004087,211988531,7.02,D,7.02,D,-0.713023,0.002802,-0.32,0.79,0,10.141,0.813,5840.69,664326922664482944,YNYYY,0.812772751,0.344774246,0.467998505,,,,,,,
130.218842,19.483215,2MASS J08405253+1928596,211950703,4.02,K,4.02,K,0.077491,0.001131,-1.21,0.32,0,10.172,0.681,6271.69,661242861268936704,YYYYN,0.680819511,0.278184891,0.402634621,,,,,,,
130.132675,20.201668,2MASS J08403185+2012060,211996831,8.79,K,8.79,K,-0.024308,0.002332,-0.01,0.76,0,11.339,0.91,5550.63,664422683254834304,YYNYY,0.909723282,0.39127636,0.518446922,,,,,,,
130.132004,19.850277,2MASS J08403169+1951011,211974702,8.43,K,8.43,K,-0.027146,0.002915,-0.29,0.5,0,11.431,0.929,5495.69,661317250102374528,YYYYY,0.929016113,0.399233818,0.529782295,,,,,,,
130.201324,19.92189,2MASS J08404833+1955189,211979334,7.43,D,7.43,D,-0.006254,0.00236,-0.03,1,0,10.863,0.816,5832.3,661319483485360000,YYYYY,0.815493584,0.345920563,0.469573021,,,,,,,
130.289948,19.855177,2MASS J08410961+1951187,211975006,6.04,K,6.04,K,-0.757543,0.00255,0,0,0,10.518,0.892,5601.27,661306319407420160,YNY-N,0.89221859,0.377429008,0.514789581,,,,,,,
130.292938,19.818607,2MASS J08411031+1949071,211972627,9.01,K,9.01,K,-0.057083,0.001844,10.9,3.72,0.18,11.311,0.911,5547.76,661302887731820416,YYYNN,0.910652161,0.393500328,0.517151833,,,,,,,
129.708313,20.067602,2MASS J08385001+2004036,211988454,8.44,2,8.44,2,0.088354,0.001,-7.3,6.62,0,10.658,0.762,6001.88,664324684984105728,YYNNN,0.761967659,0.311761856,0.450205803,,,,,,,
129.366394,19.56251,2MASS J08372794+1933452,211955820,3.62,2,3.62,2,-0.629407,0.002404,-0.46,0.41,0.38,9.594,0.702,6198.51,664282667321547008,YNNYY,0.702428818,0.288610458,0.413818359,,,,,,,
130.094635,19.464767,2MASS J08402271+1927532,211949471,6.52,K,6.52,K,0.047547,0.002163,1.12,0.49,0,10.545,0.75,6042.46,661243273585807872,YYYYY,0.749501228,0.306767464,0.442733765,,,,,,,
