Theia,OName,logage,Avmag,string,width,height,length,GLON,GLAT,Par,vl,vb,RV,X,Y,Z,U,V,W,dist_pc
1,LDN_988e,6.14485,1.67348,0,9.6925,7.13715,0.0,90.9216,2.79432,1.67719,-16.3544,-3.1544,-9.25517,-9.57883,595.45,29.067,17.1537,-9.01972,-3.72845,596.2353698746117
2,Chameleon_I,6.27641,1.95273,0,2.47042,3.23783,0.0,297.093,-14.9899,4.55901,-2.913,-1.89178,2.40837,96.4991,-188.632,-56.7334,-1.90018,-3.02194,-2.70715,219.3458667561598
3,FSR_0261,6.27737,2.74475,0,5.824,7.23115,0.0,84.7931,-0.414384,1.27436,-21.6761,3.14658,2.72266,71.2122,781.45,-5.67524,22.5037,0.768855,3.23951,784.707617941555
4,ASCC_125,6.26727,1.96643,0,7.89937,3.97209,0.0,110.309,2.96364,1.1558,-28.3326,1.63032,-5.40542,-299.895,810.331,44.7328,29.5002,4.93782,1.40342,865.2015919709293
5,NGC_7023,6.37036,1.2416,0,7.86262,4.11629,0.0,105.285,13.911,2.49915,-6.58386,-5.825,-8.73705,-102.387,374.662,96.1987,8.80086,-4.9997,-8.32693,400.1360462557269
6,0,6.37515,1.22375,0,8.99607,11.6514,0.0,121.643,-1.24906,1.59793,-7.22314,1.13173,-5.74988,-328.241,532.645,-13.6417,9.97636,-0.725157,1.39855,625.8096412233327
7,Taurus,6.5,0.25,0,6.58769,2.11816,0.0,172.137,-15.5548,7.36175,0.639536,-1.07079,5.38881,-129.632,17.903,-36.4262,-5.0299,0.0690864,-2.61732,135.8372669541889
8,0,6.5,0.25,0,6.72626,5.74144,0.0,111.099,19.7012,2.32468,-3.02097,0.64819,-8.08385,-145.79,377.835,145.016,6.10273,-6.24818,-2.1088,430.16673262556566
9,IC_1396,6.64387,1.19759,y,47.1676,8.94497,130.429,102.828,4.27636,1.10423,-29.0853,-0.535996,6.88874,-207.264,880.845,68.3205,27.7661,12.6663,0.328557,905.6084330257282
10,0,6.79999,0.799999,0,3.56826,1.37923,0.0,112.138,13.8636,2.89357,-6.08959,2.32805,-4.35964,-126.442,310.79,82.8085,7.57328,-2.20354,1.22646,345.5938511941996
11,LDN_1251,6.79999,0.799999,0,2.4437,2.38992,0.0,115.009,14.2834,2.78953,-4.04874,0.189082,-5.47722,-146.869,314.829,88.4442,6.12186,-3.18869,-1.18766,358.48332873279725
12,0,6.79492,1.42181,0,13.6557,13.3258,0.0,31.15,0.387587,1.555,-11.0056,-0.700117,-2.5016,550.353,332.65,4.35025,3.65901,-10.9904,-0.700767,643.0868167202573
13,Orion,6.89498,0.199979,y,29.498,13.4985,176.496,205.343,-18.2406,2.63863,-4.82186,2.75791,6.56547,-342.773,-142.513,-109.982,-4.20573,3.17317,2.34927,378.98454879994546
14,0,6.89999,1.5,0,7.84175,5.61335,0.0,317.853,-0.939842,1.28116,-5.07625,2.55607,0.0,578.632,-523.704,-12.8029,-3.36119,-3.77729,2.60005,780.5426332386274
15,0,6.85354,2.10246,0,5.2579,6.14504,0.0,216.255,-15.245,1.19876,-12.68,-1.37519,0.0,-649.018,-475.964,-219.35,-7.35601,10.6525,-1.34958,834.1953351796856
16,0,6.9,1.5,0,4.21726,4.77017,0.0,319.605,1.52727,1.0893,-7.13002,3.01456,-0.571051,698.914,-594.713,24.4678,-5.42908,-5.34764,3.18858,918.0207472688884
17,IC_348,6.9252,1.35544,y,6.48136,9.52942,44.8622,160.593,-16.5556,3.36551,-3.50407,1.73991,11.2004,-264.941,94.1287,-80.7356,-8.26494,6.89391,-1.08368,297.13178686142663
18,ASCC_122,6.98941,0.386604,0,2.87181,3.85622,0.0,96.5438,-16.0824,2.02706,-21.8937,2.8509,-2.76961,-54.0202,470.93,-136.661,22.8293,0.710564,3.64919,493.32530857498045
19,0,6.95752,2.42856,0,14.1133,8.26271,0.0,119.313,2.93336,1.33075,-8.80825,-2.79572,-19.9222,-367.411,654.383,38.4554,17.9048,-13.1124,-3.93809,751.4559458951718
20,0,6.97117,2.46341,0,10.3153,4.4445,0.0,82.9466,-2.35646,1.12515,-14.4842,0.19457,0.0,109.044,881.3,-36.5431,14.9934,-1.84677,0.202316,888.7703861707326
21,NGC_1333,7.06216,0.823252,y,13.3706,12.2181,163.928,161.647,-15.3799,3.08957,0.0251956,0.873703,1.29028,-306.87,103.392,-87.2738,-1.37007,0.419264,0.473928,323.66963687503437
22,Vela_OB2,7.08007,0.5,y,10.9999,14.072,88.0981,261.88,-7.89974,2.63951,-9.91633,4.82924,5.43377,-57.6326,-367.32,-39.865,-11.9924,-7.84672,4.57828,378.858197165383
23,Serpens,7.08037,1.37433,y,24.3803,10.37,285.651,28.2003,2.77346,2.29454,-8.14188,-5.60862,6.60796,439.337,208.85,13.273,23.5453,-0.178948,-5.60919,435.8172008332825
24,0,7.0,2.0,0,1.07648,0.898519,0.0,316.468,21.1649,1.43637,-12.9823,13.0888,0.0,470.689,-447.17,251.365,-12.6003,-6.26715,12.4454,696.199447217639
25,IC_2395,7.0,0.5,0,7.9843,5.62555,0.0,266.358,-3.60112,1.35821,-8.32533,1.23427,8.28063,-46.6826,-733.326,-46.2448,-9.21172,-7.96539,0.782472,736.2631699074518
26,NGC_7039,7.0,0.5,0,13.0708,10.1446,0.0,88.2337,-1.8636,1.3126,-17.851,1.90874,5.80149,23.4697,761.082,-24.7754,18.8273,5.41733,1.80712,761.8467164406521
27,S155,7.0,3.5,0,1.96122,1.13073,0.0,110.108,2.69944,1.15478,-21.0793,-0.102225,0.0,-297.376,812.281,40.784,20.6887,7.57928,-0.102968,865.9658116697552
28,Collinder_197,7.06778,1.22925,y,26.5654,12.1728,237.692,262.932,1.133,1.12203,-21.7436,1.053,16.8844,-109.472,-866.227,12.3961,-23.5326,-12.6918,0.902229,891.2417671541759
29,Chameleon_II,7.10001,2.0,0,2.62558,3.18001,0.0,303.455,-14.7117,5.00786,-3.45713,-0.33312,-26.494,106.473,-161.141,-50.7115,-17.3856,20.0316,6.53724,199.68609346107917
30,0,7.15001,0.5,0,11.1327,4.09478,0.0,189.524,-16.7877,3.25237,-4.33072,2.32243,8.85988,-290.307,-48.7042,-88.8047,-9.98652,2.9142,-0.323365,307.4680924987009
31,0,7.1,0.5,0,2.95121,2.48202,0.0,254.372,2.10776,2.72283,-14.5144,8.88287,8.85208,-98.8685,-353.449,13.5076,-16.7188,-4.36839,9.46544,367.26494125597264
32,LDN_1219,7.2,1.0,0,7.67505,10.5785,0.0,111.815,7.55062,2.64722,-4.51633,-0.456185,-7.64789,-139.163,347.661,49.6378,7.18567,-5.41125,-1.47707,377.7547767091515
33,Aveni_Hunter_1,7.16834,0.166633,0,6.87083,7.65726,0.0,110.08,-13.8578,2.35129,-16.0148,3.39211,-7.60136,-141.772,387.819,-101.865,17.6908,-0.679548,5.24815,425.29845318952573
34,Alessi_20,7.10376,0.502563,0,4.66464,3.98657,0.0,117.327,-3.71094,2.28515,0.0639483,-0.259113,-2.60022,-200.473,387.956,-28.3233,1.1924,-2.3891,-0.0781682,437.60803448351317
35,0,7.17411,0.869163,0,9.73717,4.25974,0.0,232.563,-4.62809,2.26778,-12.591,-4.78256,8.44358,-267.181,-348.991,-35.58,-15.4675,1.50786,-5.65965,440.9598814699838
36,0,7.14999,0.5,0,4.99089,7.78786,0.0,198.583,-11.6294,2.18697,-8.2389,-3.51786,16.9475,-424.517,-142.727,-92.1736,-18.1313,2.96099,-7.05975,457.253643168402
37,0,7.12494,1.7506,0,4.08429,2.87657,0.0,31.7637,3.02716,2.14901,-9.24249,-7.19401,3.28857,395.084,244.616,24.5738,8.0844,-5.9502,-7.0609,465.3305475544553
38,0,7.10009,1.0,0,6.26049,12.4653,0.0,56.2814,3.66219,2.0097,-13.6738,-2.70059,11.1233,275.653,413.035,31.7828,18.027,1.82596,-1.98175,497.5867044832562
39,0,7.19996,0.699997,y,41.2321,7.41634,210.657,132.986,2.95675,1.72232,-14.9263,-5.57174,-5.22093,-378.97,423.272,29.0404,14.8522,7.17666,-5.95093,580.6121975010451
40,0,7.10004,0.599992,y,35.8868,22.7015,231.997,42.5798,-0.953687,1.47324,-8.42437,0.431982,6.87194,493.188,449.408,-12.6643,10.5904,-1.27512,0.457228,678.7760310607912
41,NGC_2264,7.10005,0.5,y,6.88228,5.82976,38.8382,202.847,1.76226,1.37049,1.81457,-4.44194,3.68347,-660.725,-274.083,17.8129,0.146062,-2.34221,-4.93721,729.666031857219
42,NGC_7160,7.19998,1.4,0,13.9442,8.59671,0.0,103.688,6.11501,1.09149,-29.8368,10.5859,-15.2598,-215.567,885.092,97.5954,34.1747,-8.85746,9.31089,916.1788014548919
43,CrA,7.21592,0.118924,y,51.4771,7.21006,220.728,322.687,3.68072,7.78508,-3.56683,0.632043,7.30084,114.015,-64.2708,8.34095,4.64788,-8.05015,1.85143,128.45083159068372
